Year,Ozone
1987,0.118
1988,0.101
1989,0.107
1990,0.121
1991,0.13799999999999998
1992,0.146
1993,0.149
1994,0.179
1995,0.27899999999999997
1996,0.359
1997,0.368
1998,0.566
1999,0.479
2000,0.46699999999999997
2001,0.478
2002,0.423
2003,0.422
2004,0.424
2005,0.534
2006,0.537
2007,0.5569999999999999
2008,0.605
2009,0.706
2010,0.623
2011,0.669
2012,0.739
2013,0.925
2014,0.811
2015,0.783
2016,0.8160000000000001
2017,0.849
2018,0.969
2019,1.149
2020,1.191
2021,1.3396000000000001
2022,1.3896
2023,1.4541
2024,1.6301
