Year,CO2 Emissions (kg)
2022,635502970
2021,642904010
2020,615270590
2019,651454310
2018,670869090
2017,668139610
2016,660089950
2015,642889350
2014,623685500
2013,628905240
2012,631645850
2011,628472940
2010,597764480
2009,551282200
2008,543224350
2007,532960080
2006,521878310
2005,515395540
2004,515702500
2003,495496770
2002,491270970
2001,482492530
2000,474157940
1999,424385320
1998,389426040
1997,455512460
1996,431615230
1995,404741830
1994,373335220
1993,346425890
1992,318931560
1991,299114160
1990,272123860
1989,240724800
1988,228640730
1987,202510500
1986,196723190
1985,188903060
1984,180462950
1983,160325120
1982,147223380
1981,147365470
1980,141426110
1979,138969620
1978,122194340
1977,115553490
