Entity,Code,Year,Annual CO₂ emissions
World,OWID_WRL,1901,2023963900
World,OWID_WRL,1902,2074800300
World,OWID_WRL,1903,2262046200
World,OWID_WRL,1904,2287509200
World,OWID_WRL,1905,2437062000
World,OWID_WRL,1906,2544486000
World,OWID_WRL,1907,2900324600
World,OWID_WRL,1908,2785686800
World,OWID_WRL,1909,2901167400
World,OWID_WRL,1910,3043326000
World,OWID_WRL,1911,3090098200
World,OWID_WRL,1912,3246477000
World,OWID_WRL,1913,3516533000
World,OWID_WRL,1914,3189786400
World,OWID_WRL,1915,3140276700
World,OWID_WRL,1916,3391973000
World,OWID_WRL,1917,3548138500
World,OWID_WRL,1918,3499686400
World,OWID_WRL,1919,3033839400
World,OWID_WRL,1920,3537837000
World,OWID_WRL,1921,3106184200
World,OWID_WRL,1922,3254462700
World,OWID_WRL,1923,3690697700
World,OWID_WRL,1924,3702777000
World,OWID_WRL,1925,3740633600
World,OWID_WRL,1926,3677407500
World,OWID_WRL,1927,4012947200
World,OWID_WRL,1928,3996311800
World,OWID_WRL,1929,4288211500
World,OWID_WRL,1930,3958096000
World,OWID_WRL,1931,3539320300
World,OWID_WRL,1932,3192591600
World,OWID_WRL,1933,3362683400
World,OWID_WRL,1934,3656187100
World,OWID_WRL,1935,3835742500
World,OWID_WRL,1936,4207930600
World,OWID_WRL,1937,4496715300
World,OWID_WRL,1938,4229619200
World,OWID_WRL,1939,4470135000
World,OWID_WRL,1940,4884664000
World,OWID_WRL,1941,4999092700
World,OWID_WRL,1942,4982524000
World,OWID_WRL,1943,5075273000
World,OWID_WRL,1944,5162486300
World,OWID_WRL,1945,4289312500
World,OWID_WRL,1946,4608547000
World,OWID_WRL,1947,5165205500
World,OWID_WRL,1948,5447885000
World,OWID_WRL,1949,5204035000
World,OWID_WRL,1950,5930243600
World,OWID_WRL,1951,6381428700
World,OWID_WRL,1952,6467460600
World,OWID_WRL,1953,6650885000
World,OWID_WRL,1954,6789529000
World,OWID_WRL,1955,7443896000
World,OWID_WRL,1956,7926013000
World,OWID_WRL,1957,8185645000
World,OWID_WRL,1958,8417187300
World,OWID_WRL,1959,8854690000
World,OWID_WRL,1960,9387011000
World,OWID_WRL,1961,9415042000
World,OWID_WRL,1962,9747287000
World,OWID_WRL,1963,10266772000
World,OWID_WRL,1964,10824465000
World,OWID_WRL,1965,11310600000
World,OWID_WRL,1966,11862647000
World,OWID_WRL,1967,12237369000
World,OWID_WRL,1968,12905284000
World,OWID_WRL,1969,13761785000
World,OWID_WRL,1970,14899124000
World,OWID_WRL,1971,15503855000
World,OWID_WRL,1972,16224597000
World,OWID_WRL,1973,17085094000
World,OWID_WRL,1974,17011072000
World,OWID_WRL,1975,17052752000
World,OWID_WRL,1976,17989112000
World,OWID_WRL,1977,18498636000
World,OWID_WRL,1978,19069290000
World,OWID_WRL,1979,19609020000
World,OWID_WRL,1980,19488524000
World,OWID_WRL,1981,19022903000
World,OWID_WRL,1982,18871097000
World,OWID_WRL,1983,18991910000
World,OWID_WRL,1984,19647801000
World,OWID_WRL,1985,20311902000
World,OWID_WRL,1986,20614963000
World,OWID_WRL,1987,21250075000
World,OWID_WRL,1988,22085130000
World,OWID_WRL,1989,22386637000
World,OWID_WRL,1990,22728989000
World,OWID_WRL,1991,23186102000
World,OWID_WRL,1992,22528172000
World,OWID_WRL,1993,22755787000
World,OWID_WRL,1994,22992947000
World,OWID_WRL,1995,23532083000
World,OWID_WRL,1996,24258169000
World,OWID_WRL,1997,24401906000
World,OWID_WRL,1998,24303778000
World,OWID_WRL,1999,24853730000
World,OWID_WRL,2000,25510554000
World,OWID_WRL,2001,25706293000
World,OWID_WRL,2002,26276870000
World,OWID_WRL,2003,27669490000
World,OWID_WRL,2004,28632506000
World,OWID_WRL,2005,29614395000
World,OWID_WRL,2006,30628397000
World,OWID_WRL,2007,31534645000
World,OWID_WRL,2008,32074200000
World,OWID_WRL,2009,31541922000
World,OWID_WRL,2010,33355903000
World,OWID_WRL,2011,34504540000
World,OWID_WRL,2012,35000020000
World,OWID_WRL,2013,35301655000
World,OWID_WRL,2014,35450094000
World,OWID_WRL,2015,35404900000
World,OWID_WRL,2016,35416658000
World,OWID_WRL,2017,35989897000
World,OWID_WRL,2018,36730425000
World,OWID_WRL,2019,37104275000
World,OWID_WRL,2020,35126526000
World,OWID_WRL,2021,36991734000
World,OWID_WRL,2022,37293834000
World,OWID_WRL,2023,37791570000
