Year,Ozone
2024,0.034
2024,0.0212
2024,0.0374
2024,0.0233
2024,0.0379
2024,0.0347
2024,0.0295
2024,0.034
2024,0.0534
2024,0.0375
2024,0.0353
2024,0.0325
2024,0.0366
2024,0.0329
2024,0.0392
2024,0.0264
2024,0.0347
2024,0.035
2024,0.0275
2024,0.0362
2024,0.0389
2024,0.039
2024,0.0381
2024,0.0311
2024,0.0337
2024,0.0337
2024,0.0317
2024,0.0249
2024,0.0317
2024,0.0234
2024,0.0261
2024,0.0346
2024,0.0354
2024,0.028
2024,0.0328
2024,0.0302
2024,0.0301
2024,0.0396
2024,0.0274
2024,0.0302
2024,0.0355
2024,0.0322
2024,0.0316
2024,0.0277
2024,0.0286
2024,0.0314
2024,0.0308
2024,0.0361
2024,0.0296
2024,0.0268
2023,0.0312
2023,0.0205
2023,0.0263
2023,0.0221
2023,0.034
2023,0.0316
2023,0.0263
2023,0.031
2023,0.0483
2023,0.0294
2023,0.0276
2023,0.03
2023,0.0349
2023,0.03
2023,0.034
2023,0.0254
2023,0.0322
2023,0.0336
2023,0.0269
2023,0.0321
2023,0.0331
2023,0.0355
2023,0.0332
2023,0.0271
2023,0.0281
2023,0.0304
2023,0.029
2023,0.0241
2023,0.0292
2023,0.0211
2023,0.0219
2023,0.0293
2023,0.0303
2023,0.0235
2023,0.0297
2023,0.0311
2023,0.0299
2023,0.0322
2023,0.0227
2023,0.0249
2023,0.0326
2023,0.0321
2023,0.0304
2023,0.0242
2023,0.0258
2023,0.0291
2023,0.0294
2023,0.0296
2023,0.0258
2023,0.0214
2022,0.03
2022,0.019
2022,0.025
2022,0.02
2022,0.032
2022,0.0303
2022,0.024
2022,0.027
2022,0.045
2022,0.0275
2022,0.03
2022,0.029
2022,0.036
2022,0.03
2022,0.031
2022,0.025
2022,0.031
2022,0.031
2022,0.024
2022,0.029
2022,0.035
2022,0.035
2022,0.029
2022,0.026
2022,0.028
2022,0.028
2022,0.028
2022,0.025
2022,0.027
2022,0.022
2022,0.022
2022,0.027
2022,0.028
2022,0.023
2022,0.032
2022,0.029
2022,0.029
2022,0.035
2022,0.022
2022,0.024
2022,0.0308
2022,0.03
2022,0.031
2022,0.022
2022,0.026
2022,0.02
2022,0.026
2022,0.028
2022,0.024
2022,0.022
2021,0.028
2021,0.02
2021,0.025
2021,0.021
2021,0.029
2021,0.0293
2021,0.025
2021,0.028
2021,0.047
2021,0.027
2021,0.031
2021,0.028
2021,0.034
2021,0.028
2021,0.03
2021,0.023
2021,0.029
2021,0.027
2021,0.021
2021,0.027
2021,0.034
2021,0.033
2021,0.029
2021,0.027
2021,0.028
2021,0.03
2021,0.027
2021,0.025
2021,0.028
2021,0.02
2021,0.018
2021,0.027
2021,0.026
2021,0.021
2021,0.031
2021,0.023
2021,0.031
2021,0.037
2021,0.021
2021,0.023
2021,0.0293
2021,0.026
2021,0.029
2021,0.022
2021,0.026
2021,0.017
2021,0.026
2021,0.03
2021,0.022
2021,0.016
2020,0.026
2020,0.018
2020,0.023
2020,0.02
2020,0.024
2020,0.026
2020,0.019
2020,0.025
2020,0.032
2020,0.024
2020,0.028
2020,0.022
2020,0.031
2020,0.026
2020,0.028
2020,0.02
2020,0.026
2020,0.023
2020,0.02
2020,0.023
2020,0.031
2020,0.032
2020,0.027
2020,0.02
2020,0.029
2020,0.025
2020,0.024
2020,0.019
2020,0.022
2020,0.02
2020,0.019
2020,0.024
2020,0.024
2020,0.019
2020,0.023
2020,0.022
2020,0.029
2020,0.032
2020,0.018
2020,0.023
2020,0.025
2020,0.024
2020,0.024
2020,0.021
2020,0.022
2020,0.02
2020,0.023
2020,0.022
2020,0.022
2020,0.022
2019,0.022
2019,0.017
2019,0.022
2019,0.015
2019,0.028
2019,0.027
2019,0.018
2019,0.026
2019,0.028
2019,0.022
2019,0.027
2019,0.022
2019,0.03
2019,0.022
2019,0.029
2019,0.02
2019,0.027
2019,0.024
2019,0.017
2019,0.025
2019,0.03
2019,0.029
2019,0.027
2019,0.023
2019,0.027
2019,0.027
2019,0.023
2019,0.018
2019,0.023
2019,0.02
2019,0.018
2019,0.024
2019,0.022
2019,0.017
2019,0.02
2019,0.023
2019,0.03
2019,0.018
2019,0.014
2019,0.022
2019,0.023
2019,0.027
2019,0.025
2019,0.02
2019,0.022
2019,0.017
2019,0.021
2019,0.028
2019,0.023
2019,0.02
2018,0.017
2018,0.015
2018,0.021
2018,0.014
2018,0.029
2018,0.025
2018,0.015
2018,0.023
2018,0.026
2018,0.021
2018,0.026
2018,0.023
2018,0.028
2018,0.023
2018,0.026
2018,0.017
2018,0.021
2018,0.025
2018,0.016
2018,0.024
2018,0.027
2018,0.026
2018,0.025
2018,0.018
2018,0.021
2018,0.018
2018,0.024
2018,0.009
2018,0.012
2018,0.022
2018,0.022
2018,0.013
2018,0.022
2018,0.028
2018,0.018
2018,0.021
2018,0.025
2018,0.025
2018,0.022
2018,0.018
2018,0.021
2018,0.018
2018,0.021
2018,0.024
2018,0.018
2018,0.016
2017,0.02
2017,0.013
2017,0.023
2017,0.014
2017,0.031
2017,0.027
2017,0.016
2017,0.025
2017,0.028
2017,0.023
2017,0.026
2017,0.028
2017,0.027
2017,0.018
2017,0.022
2017,0.027
2017,0.015
2017,0.026
2017,0.025
2017,0.025
2017,0.021
2017,0.023
2017,0.025
2017,0.012
2017,0.022
2017,0.026
2017,0.013
2017,0.02
2017,0.028
2017,0.019
2017,0.019
2017,0.026
2017,0.025
2017,0.023
2017,0.017
2017,0.019
2017,0.018
2017,0.017
2017,0.017
2016,0.023
2016,0.012
2016,0.019
2016,0.013
2016,0.027
2016,0.023
2016,0.012
2016,0.026
2016,0.023
2016,0.024
2016,0.026
2016,0.026
2016,0.029
2016,0.018
2016,0.021
2016,0.024
2016,0.015
2016,0.026
2016,0.028
2016,0.024
2016,0.02
2016,0.021
2016,0.024
2016,0.012
2016,0.027
2016,0.024
2016,0.013
2016,0.022
2016,0.025
2016,0.024
2016,0.016
2016,0.02
2016,0.023
2016,0.024
2016,0.017
2016,0.018
2016,0.017
2016,0.014
2016,0.016
2015,0.021
2015,0.011
2015,0.021
2015,0.013
2015,0.021
2015,0.023
2015,0.016
2015,0.022
2015,0.021
2015,0.025
2015,0.019
2015,0.022
2015,0.026
2015,0.015
2015,0.023
2015,0.025
2015,0.012
2015,0.025
2015,0.024
2015,0.021
2015,0.021
2015,0.022
2015,0.023
2015,0.01
2015,0.022
2015,0.022
2015,0.012
2015,0.02
2015,0.021
2015,0.024
2015,0.017
2015,0.022
2015,0.023
2015,0.023
2015,0.017
2015,0.018
2015,0.013
2015,0.014
2015,0.019
2015,0.014
2014,0.024
2014,0.01
2014,0.023
2014,0.013
2014,0.024
2014,0.024
2014,0.018
2014,0.022
2014,0.027
2014,0.024
2014,0.021
2014,0.026
2014,0.028
2014,0.017
2014,0.024
2014,0.024
2014,0.013
2014,0.023
2014,0.025
2014,0.023
2014,0.019
2014,0.023
2014,0.023
2014,0.012
2014,0.022
2014,0.025
2014,0.013
2014,0.021
2014,0.023
2014,0.023
2014,0.017
2014,0.022
2014,0.022
2014,0.025
2014,0.016
2014,0.015
2014,0.011
2014,0.016
2014,0.016
2014,0.014
2013,0.022
2013,0.01
2013,0.02
2013,0.011
2013,0.023
2013,0.024
2013,0.02
2013,0.023
2013,0.04
2013,0.022
2013,0.021
2013,0.022
2013,0.026
2013,0.024
2013,0.025
2013,0.015
2013,0.023
2013,0.023
2013,0.013
2013,0.022
2013,0.027
2013,0.022
2013,0.022
2013,0.018
2013,0.02
2013,0.016
2013,0.022
2013,0.013
2013,0.023
2013,0.022
2013,0.011
2013,0.02
2013,0.021
2013,0.025
2013,0.017
